Date,TheValue
2018-03-13,7.07
2018-03-12,7.07
2018-03-09,7.07
2018-03-08,7.07
2018-03-07,7.07
2018-03-06,7.07
2018-03-05,7.07
2018-03-02,7.07
2018-03-01,7.04
2018-02-28,7.04
2018-02-27,7.04
2018-02-26,7.04
2018-02-23,7.04
2018-02-22,7.08
2018-02-21,7.08
2018-02-20,7.08
2018-02-19,7.08
2018-02-16,7.08
2018-02-15,7.14
2018-02-14,7.14
2018-02-13,7.14
2018-02-12,7.14
2018-02-09,7.14
2018-02-08,7.18
2018-02-07,7.18
2018-02-06,7.18
2018-02-05,7.18
2018-02-02,7.18
2018-02-01,7.21
2018-01-31,7.21
2018-01-30,7.21
2018-01-29,7.21
2018-01-26,7.21
2018-01-25,7.24
2018-01-24,7.24
2018-01-23,7.24
2018-01-22,7.24
2018-01-19,7.24
2018-01-18,7.27
2018-01-17,7.27
2018-01-16,7.27
2018-01-15,7.27
2018-01-12,7.27
2018-01-11,7.44
2018-01-10,7.44
2018-01-09,7.44
2018-01-08,7.44
2018-01-05,7.44
2018-01-04,7.49
2018-01-03,7.49
2018-01-02,7.49
2017-12-29,7.49
2017-12-28,7.53
2017-12-27,7.53
2017-12-22,7.53
2017-12-21,7.60
2017-12-20,7.60
2017-12-19,7.60
2017-12-18,7.60
2017-12-15,7.60
2017-12-14,7.50
2017-12-13,7.50
2017-12-12,7.50
2017-12-11,7.50
2017-12-08,7.50
2017-12-07,7.52
2017-12-06,7.52
2017-12-05,7.52
2017-12-04,7.52
2017-12-01,7.52
2017-11-30,7.56
2017-11-29,7.56
2017-11-28,7.56
2017-11-27,7.56
2017-11-24,7.56
2017-11-23,7.45
2017-11-22,7.45
2017-11-21,7.45
2017-11-20,7.45
2017-11-17,7.45
2017-11-16,7.42
2017-11-15,7.42
2017-11-14,7.42
2017-11-13,7.42
2017-11-10,7.42
2017-11-09,7.39
2017-11-08,7.39
2017-11-07,7.39
2017-11-06,7.39
2017-11-03,7.39
2017-11-02,7.40
2017-11-01,7.40
2017-10-31,7.40
2017-10-30,7.40
2017-10-27,7.40
2017-10-26,7.27
2017-10-25,7.27
2017-10-24,7.27
2017-10-23,7.27
2017-10-20,7.27
2017-10-19,7.27
2017-10-18,7.27
2017-10-17,7.27
2017-10-16,7.27
2017-10-14,7.27
2017-10-13,7.27
2017-10-12,7.25
2017-10-11,7.25
2017-10-10,7.25
2017-10-09,7.25
2017-10-07,7.25
2017-10-06,7.25
2017-10-05,7.11
2017-10-04,7.11
2017-10-03,7.11
2017-10-02,7.11
2017-09-29,7.11
2017-09-28,7.07
2017-09-27,7.07
2017-09-26,7.07
2017-09-23,7.07
2017-09-22,7.07
2017-09-21,7.07
2017-09-20,7.07
2017-09-19,7.07
2017-09-18,7.07
2017-09-15,7.07
2017-09-14,7.11
2017-09-13,7.11
2017-09-12,7.11
2017-09-11,7.11
2017-09-08,7.11
2017-09-07,7.13
2017-09-06,7.13
2017-09-05,7.13
2017-09-04,7.13
2017-09-02,7.13
2017-09-01,7.13
2017-08-31,7.16
2017-08-30,7.16
2017-08-29,7.16
2017-08-28,7.16
2017-08-26,7.16
2017-08-25,7.16
2017-08-24,7.18
2017-08-23,7.18
2017-08-22,7.18
2017-08-21,7.18
2017-08-18,7.18
2017-08-17,7.19
2017-08-16,7.19
2017-08-15,7.19
2017-08-14,7.19
2017-08-11,7.19
2017-08-10,7.18
2017-08-08,7.18
2017-08-07,7.18
2017-08-04,7.18
2017-08-03,7.15
2017-08-02,7.15
2017-08-01,7.15
2017-07-31,7.15
2017-07-28,7.15
2017-07-27,7.09
2017-07-26,7.09
2017-07-25,7.09
2017-07-24,7.09
2017-07-21,7.09
2017-07-20,7.42
2017-07-19,7.42
2017-07-18,7.42
2017-07-17,7.42
2017-07-15,7.42
2017-07-14,7.42
2017-07-13,7.43
2017-07-12,7.43
2017-07-11,7.43
2017-07-10,7.43
2017-07-07,7.43
2017-07-06,7.44
2017-07-05,7.44
2017-07-04,7.44
2017-07-03,7.44
2017-06-30,7.44
2017-06-29,7.32
2017-06-28,7.32
2017-06-27,7.32
2017-06-26,7.32
2017-06-23,7.32
2017-06-22,7.33
2017-06-21,7.33
2017-06-20,7.33
2017-06-19,7.33
2017-06-15,7.33
2017-06-14,7.33
2017-06-13,7.33
2017-06-12,7.33
2017-06-10,7.33
2017-06-09,7.33
2017-06-08,7.36
2017-06-07,7.36
2017-06-06,7.36
2017-06-05,7.36
2017-06-02,7.36
2017-06-01,7.39
2017-05-31,7.39
2017-05-30,7.39
2017-05-29,7.39
2017-05-27,7.39
2017-05-26,7.39
2017-05-25,7.44
2017-05-24,7.44
2017-05-23,7.44
2017-05-22,7.44
2017-05-20,7.44
2017-05-19,7.44
2017-05-18,7.46
2017-05-17,7.46
2017-05-16,7.46
2017-05-15,7.46
2017-05-13,7.46
2017-05-12,7.46
2017-05-11,7.44
2017-05-10,7.44
2017-05-09,7.44
2017-05-08,7.44
2017-05-06,7.44
2017-05-05,7.44
2017-05-04,7.43
2017-05-03,7.43
2017-05-02,7.43
2017-04-29,7.43
2017-04-28,7.43
2017-04-26,7.44
2017-04-25,7.44
2017-04-24,7.44
2017-04-22,7.44
2017-04-21,7.44
2017-04-20,7.49
2017-04-19,7.49
2017-04-18,7.49
2017-04-14,7.49
2017-04-13,7.49
2017-04-12,7.42
2017-04-11,7.42
2017-04-10,7.42
2017-04-08,7.42
2017-04-07,7.42
2017-04-06,7.29
2017-04-05,7.29
2017-04-04,7.29
2017-04-03,7.29
2017-04-01,7.29
2017-03-31,7.29
2017-03-30,7.26
2017-03-29,7.26
2017-03-28,7.26
2017-03-27,7.26
2017-03-24,7.26
2017-03-23,7.24
2017-03-22,7.24
2017-03-20,7.24
2017-03-18,7.24
2017-03-17,7.24
2017-03-16,7.26
2017-03-15,7.26
2017-03-14,7.26
2017-03-13,7.26
2017-03-11,7.26
2017-03-10,7.26
2017-03-09,7.17
2017-03-08,7.17
2017-03-07,7.17
2017-03-06,7.17
2017-03-04,7.17
2017-03-03,7.17
2017-03-02,7.19
2017-03-01,7.19
2017-02-28,7.19
2017-02-27,7.19
2017-02-25,7.19
2017-02-24,7.19
2017-02-23,7.23
2017-02-22,7.23
2017-02-21,7.23
2017-02-20,7.23
2017-02-18,7.23
2017-02-17,7.23
2017-02-16,7.27
2017-02-15,7.27
2017-02-14,7.27
2017-02-13,7.27
2017-02-11,7.27
2017-02-10,7.27
2017-02-09,7.31
2017-02-08,7.31
2017-02-07,7.31
2017-02-06,7.31
2017-02-04,7.31
2017-02-03,7.31
2017-02-02,7.36
2017-02-01,7.36
2017-01-31,7.36
2017-01-30,7.36
2017-01-28,7.36
2017-01-27,7.36
2017-01-26,7.39
2017-01-25,7.39
2017-01-24,7.39
2017-01-23,7.39
2017-01-21,7.39
2017-01-20,7.39
2017-01-19,7.45
2017-01-18,7.45
2017-01-17,7.45
2017-01-16,7.45
2017-01-14,7.45
2017-01-13,7.45
2017-01-12,7.53
2017-01-11,7.53
2017-01-10,7.53
2017-01-09,7.53
2017-01-07,7.53
2017-01-06,7.53
2017-01-05,7.64
2017-01-04,7.64
2017-01-03,7.64
2016-12-31,7.64
2016-12-30,7.64
2016-12-29,7.63
2016-12-28,7.63
2016-12-24,7.63
2016-12-23,7.63
2016-12-22,7.61
2016-12-21,7.61
2016-12-20,7.61
2016-12-19,7.61
2016-12-17,7.61
2016-12-15,7.61
2016-12-14,7.57
2016-12-13,7.57
2016-12-12,7.57
2016-12-10,7.57
2016-12-09,7.57
2016-12-08,7.62
2016-12-07,7.62
2016-12-06,7.62
2016-12-05,7.62
2016-12-03,7.62
2016-12-02,7.62
2016-12-01,7.60
2016-11-30,7.60
2016-11-29,7.60
2016-11-28,7.60
2016-11-26,7.60
2016-11-25,7.60
2016-11-24,7.51
2016-11-23,7.51
2016-11-22,7.51
2016-11-21,7.51
2016-11-19,7.51
2016-11-18,7.51
2016-11-17,7.47
2016-11-16,7.47
2016-11-15,7.47
2016-11-14,7.47
2016-11-12,7.47
2016-11-11,7.47
2016-11-10,7.39
2016-11-09,7.39
2016-11-08,7.39
2016-11-07,7.39
2016-11-05,7.39
2016-11-04,7.39
2016-11-03,7.40
2016-11-02,7.40
2016-11-01,7.40
2016-10-31,7.40
2016-10-29,7.40
2016-10-28,7.40
2016-10-27,7.41
2016-10-26,7.41
2016-10-25,7.41
2016-10-24,7.41
2016-10-22,7.41
2016-10-21,7.41
2016-10-20,7.39
2016-10-19,7.39
2016-10-18,7.39
2016-10-17,7.39
2016-10-15,7.39
2016-10-14,7.39
2016-10-13,7.31
2016-10-12,7.31
2016-10-11,7.31
2016-10-10,7.31
2016-10-08,7.31
2016-10-07,7.31
2016-10-06,7.23
2016-10-05,7.23
2016-10-04,7.23
2016-10-03,7.23
2016-10-01,7.23
2016-09-30,7.23
2016-09-29,7.23
2016-09-28,7.23
2016-09-27,7.23
2016-09-26,7.23
2016-09-24,7.23
2016-09-23,7.23
2016-09-22,7.27
2016-09-21,7.27
2016-09-20,7.27
2016-09-19,7.27
2016-09-17,7.27
2016-09-16,7.27
2016-09-15,7.31
2016-09-14,7.31
2016-09-13,7.31
2016-09-12,7.31
2016-09-10,7.31
2016-09-09,7.31
2016-09-08,7.36
2016-09-07,7.36
2016-09-06,7.36
2016-09-05,7.36
2016-09-03,7.36
2016-09-02,7.36
2016-09-01,7.35
2016-08-31,7.35
2016-08-30,7.35
2016-08-29,7.35
2016-08-27,7.35
2016-08-26,7.35
2016-08-25,7.24
2016-08-24,7.24
2016-08-23,7.24
2016-08-22,7.24
2016-08-20,7.24
2016-08-19,7.24
2016-08-18,7.28
2016-08-17,7.28
2016-08-16,7.28
2016-08-15,7.28
2016-08-13,7.28
2016-08-12,7.28
2016-08-11,7.31
2016-08-10,7.31
2016-08-08,7.31
2016-08-06,7.31
2016-08-05,7.31
2016-08-04,7.33
2016-08-02,7.33
2016-08-01,7.33
2016-07-30,7.33
2016-07-29,7.33
2016-07-28,7.36
2016-07-27,7.36
2016-07-26,7.36
2016-07-25,7.36
2016-07-23,7.36
2016-07-22,7.36
2016-07-21,7.39
2016-07-20,7.39
2016-07-19,7.39
2016-07-18,7.39
2016-07-16,7.39
2016-07-15,7.39
2016-07-14,7.39
2016-07-13,7.39
2016-07-12,7.39
2016-07-11,7.39
2016-07-09,7.39
2016-07-08,7.39
2016-07-07,7.27
2016-07-06,7.27
2016-07-05,7.27
2016-07-04,7.27
2016-07-02,7.27
2016-07-01,7.27
2016-06-30,7.22
2016-06-29,7.22
2016-06-28,7.22
2016-06-27,7.22
2016-06-25,7.22
2016-06-24,7.22
2016-06-23,7.19
2016-06-22,7.19
2016-06-21,7.19
2016-06-20,7.19
2016-06-18,7.19
2016-06-17,7.19
2016-06-15,7.19
2016-06-14,7.19
2016-06-13,7.19
2016-06-11,7.19
2016-06-10,7.19
2016-06-09,7.19
2016-06-08,7.19
2016-06-07,7.19
2016-06-06,7.19
2016-06-04,7.19
2016-06-03,7.19
2016-06-02,7.17
2016-06-01,7.17
2016-05-31,7.17
2016-05-30,7.17
2016-05-28,7.17
2016-05-27,7.17
2016-05-26,7.15
2016-05-25,7.15
2016-05-24,7.15
2016-05-23,7.15
2016-05-21,7.15
2016-05-20,7.15
2016-05-19,7.17
2016-05-18,7.17
