Date,Value
1975-01-31,100.8277
1975-02-28,100.8782
1975-03-31,100.9653
1975-04-30,101.0911
1975-05-31,101.2177
1975-06-30,101.3222
1975-07-31,101.4007
1975-08-31,101.4395
1975-09-30,101.4258
1975-10-31,101.3436
1975-11-30,101.2184
1975-12-31,101.0988
1976-01-31,100.9905
1976-02-29,100.8527
1976-03-31,100.6331
1976-04-30,100.3306
1976-05-31,99.95775
1976-06-30,99.57247
1976-07-31,99.206
1976-08-31,98.87668
1976-09-30,98.59663
1976-10-31,98.36493
1976-11-30,98.16814
1976-12-31,97.98355
1977-01-31,97.77573
1977-02-28,97.58823
1977-03-31,97.46052
1977-04-30,97.4043
1977-05-31,97.4047
1977-06-30,97.47551
1977-07-31,97.59776
1977-08-31,97.7578
1977-09-30,97.93847
1977-10-31,98.10117
1977-11-30,98.23463
1977-12-31,98.3345
1978-01-31,98.40936
1978-02-28,98.40969
1978-03-31,98.41364
1978-04-30,98.44785
1978-05-31,98.51379
1978-06-30,98.59358
1978-07-31,98.66688
1978-08-31,98.72148
1978-09-30,98.76747
1978-10-31,98.82903
1978-11-30,98.91226
1978-12-31,99.00964
1979-01-31,99.10898
1979-02-28,99.19188
1979-03-31,99.25484
1979-04-30,99.3157
1979-05-31,99.39816
1979-06-30,99.52695
1979-07-31,99.72926
1979-08-31,100.004
1979-09-30,100.3468
1979-10-31,100.7403
1979-11-30,101.1411
1979-12-31,101.5248
1980-01-31,101.8694
1980-02-29,102.1621
1980-03-31,102.4099
1980-04-30,102.6303
1980-05-31,102.836
1980-06-30,103.0451
1980-07-31,103.2543
1980-08-31,103.4456
1980-09-30,103.5877
1980-10-31,103.652
1980-11-30,103.6151
1980-12-31,103.4786
1981-01-31,103.2766
1981-02-28,103.0398
1981-03-31,102.8072
1981-04-30,102.5796
1981-05-31,102.3447
1981-06-30,102.1052
1981-07-31,101.8842
1981-08-31,101.6907
1981-09-30,101.5042
1981-10-31,101.2923
1981-11-30,101.0378
1981-12-31,100.7359
