Date,New York 9:30
1992-07-01,385.0
1992-07-02,389.0
1992-07-03,386.0
1992-07-06,388.0
1992-07-07,383.0
1992-07-08,385.0
1992-07-09,384.0
1992-07-10,386.0
1992-07-13,388.0
1992-07-14,393.0
1992-07-15,387.0
1992-07-16,384.0
1992-07-17,384.0
1992-07-20,391.0
1992-07-21,382.0
1992-07-22,378.0
1992-07-23,384.0
1992-07-24,381.0
1992-07-27,378.0
1992-07-28,376.0
1992-07-29,373.0
1992-07-30,377.0
1992-07-31,386.0
1992-08-03,380.0
1992-08-04,377.0
1992-08-05,376.0
1992-08-06,375.0
1992-08-07,378.0
1992-08-10,376.0
1992-08-11,370.0
1992-08-12,368.0
1992-08-13,352.0
1992-08-14,347.0
1992-08-17,348.0
1992-08-18,344.0
1992-08-19,348.0
1992-08-20,347.0
1992-08-21,353.0
1992-08-24,352.0
1992-08-25,350.0
1992-08-26,352.0
1992-08-27,356.0
1992-08-28,357.0
1992-08-31,360.0
1992-09-01,361.0
1992-09-02,356.0
1992-09-03,355.0
1992-09-04,358.0
1992-09-07,361.0
1992-09-08,359.0
1992-09-09,365.0
1992-09-10,362.0
1992-09-11,357.0
1992-09-14,362.0
1992-09-15,362.0
1992-09-16,366.0
1992-09-17,367.0
1992-09-18,362.0
1992-09-21,363.0
1992-09-22,364.0
1992-09-23,364.0
1992-09-24,367.0
1992-09-25,370.0
1992-09-28,367.0
1992-09-29,365.0
1992-09-30,368.0
1992-10-01,367.0
1992-10-02,365.0
1992-10-05,366.0
1992-10-06,364.0
1992-10-07,357.0
1992-10-08,357.0
1992-10-09,357.0
1992-10-12,357.0
1992-10-13,356.0
1992-10-14,356.0
1992-10-15,358.0
1992-10-16,358.0
1992-10-19,359.0
1992-10-20,362.0
1992-10-21,359.0
1992-10-22,357.0
1992-10-23,357.0
1992-10-26,356.0
1992-10-27,355.0
1992-10-28,356.0
1992-10-29,354.0
1992-10-30,355.0
1992-11-02,356.0
1992-11-03,358.0
1992-11-04,357.0
1992-11-05,364.0
1992-11-06,367.0
1992-11-09,362.0
1992-11-10,351.0
1992-11-11,348.0
1992-11-12,351.0
1992-11-13,354.0
1992-11-16,354.0
1992-11-17,352.0
1992-11-18,353.0
1992-11-19,354.0
1992-11-20,357.0
1992-11-23,359.0
1992-11-24,358.0
1992-11-25,356.0
1992-11-26,357.0
1992-11-27,359.0
1992-11-30,361.0
1992-12-01,363.0
1992-12-02,364.0
1992-12-03,364.0
1992-12-04,366.0
1992-12-07,366.0
1992-12-08,370.0
1992-12-09,364.0
1992-12-10,363.0
1992-12-11,364.0
1992-12-14,365.0
1992-12-15,364.0
1992-12-16,364.0
1992-12-17,366.0
1992-12-18,364.0
1992-12-21,357.0
1992-12-22,359.0
1992-12-23,360.0
1992-12-24,361.0
1992-12-28,360.0
1992-12-29,359.0
1992-12-30,356.0
1992-12-31,355.0
1993-01-04,353.0
1993-01-05,357.0
1993-01-06,360.0
1993-01-07,361.0
1993-01-08,358.0
1993-01-11,359.0
1993-01-12,358.0
1993-01-13,357.0
1993-01-14,359.0
1993-01-15,357.0
1993-01-18,357.0
1993-01-19,359.0
1993-01-20,358.0
1993-01-21,365.0
1993-01-22,361.0
1993-01-25,361.0
1993-01-26,365.0
1993-01-27,363.0
1993-01-28,363.0
1993-01-29,365.0
1993-02-01,362.0
1993-02-02,359.0
1993-02-03,361.0
1993-02-04,359.0
1993-02-05,361.0
1993-02-08,361.0
1993-02-09,364.0
1993-02-10,368.0
1993-02-11,371.0
1993-02-12,368.0
1993-02-15,366.0
1993-02-16,368.0
1993-02-17,369.0
1993-02-18,362.0
1993-02-19,360.0
1993-02-22,349.0
1993-02-23,345.0
1993-02-24,346.0
1993-02-25,345.0
1993-02-26,345.0
1993-03-01,348.0
1993-03-02,345.0
1993-03-03,343.0
1993-03-04,341.0
1993-03-05,345.0
1993-03-08,342.0
1993-03-09,345.0
1993-03-10,346.0
1993-03-11,351.0
1993-03-12,352.0
1993-03-15,353.0
1993-03-16,351.0
1993-03-17,349.0
1993-03-18,349.0
1993-03-19,351.0
1993-03-22,357.0
1993-03-23,355.0
1993-03-24,358.0
1993-03-25,358.0
1993-03-26,356.0
1993-03-29,356.0
1993-03-30,361.0
1993-03-31,363.0
1993-04-01,362.0
1993-04-02,365.0
1993-04-05,364.0
1993-04-06,362.0
1993-04-07,359.0
1993-04-08,359.0
1993-04-12,359.0
1993-04-13,362.0
1993-04-14,364.0
1993-04-15,368.0
1993-04-16,370.0
1993-04-19,372.0
1993-04-20,372.0
1993-04-21,368.0
1993-04-22,366.0
1993-04-23,372.0
1993-04-26,379.0
1993-04-27,376.0
1993-04-28,375.0
1993-04-29,385.0
1993-04-30,387.0
1993-05-03,
1993-05-04,378.0
1993-05-05,377.0
1993-05-06,382.0
1993-05-07,385.0
1993-05-10,381.0
1993-05-11,380.0
1993-05-12,381.0
1993-05-13,387.0
1993-05-14,383.0
1993-05-17,387.0
1993-05-18,383.0
1993-05-19,392.0
1993-05-20,385.0
1993-05-21,386.0
1993-05-24,391.0
1993-05-25,386.0
1993-05-26,389.0
1993-05-27,391.0
1993-05-28,397.0
1993-05-31,
1993-06-01,397.0
1993-06-02,383.0
1993-06-03,388.0
1993-06-04,391.0
1993-06-07,386.0
1993-06-08,386.0
1993-06-09,384.0
1993-06-10,387.0
1993-06-11,387.0
1993-06-14,384.0
1993-06-15,376.0
1993-06-16,380.0
1993-06-17,
1993-06-18,380.0
1993-06-21,379.0
1993-06-22,375.0
1993-06-23,373.0
1993-06-24,381.0
1993-06-25,384.0
1993-06-28,387.0
1993-06-29,384.0
1993-06-30,386.0
1993-07-01,386.0
1993-07-02,396.0
1993-07-05,393.0
1993-07-06,405.0
1993-07-07,407.0
1993-07-08,407.0
1993-07-09,404.0
1993-07-12,406.0
1993-07-13,403.0
1993-07-14,408.0
1993-07-15,405.0
1993-07-16,404.0
1993-07-19,408.0
1993-07-20,406.0
1993-07-21,405.0
1993-07-22,397.0
1993-07-23,405.0
1993-07-26,404.0
1993-07-27,407.0
1993-07-28,407.0
1993-07-29,409.0
1993-07-30,414.0
1993-08-02,417.0
1993-08-03,418.0
1993-08-04,419.0
1993-08-05,404.0
1993-08-06,388.0
1993-08-09,393.0
1993-08-10,394.0
1993-08-11,392.0
1993-08-12,390.0
1993-08-13,386.0
1993-08-16,388.0
1993-08-17,388.0
1993-08-18,389.0
1993-08-19,394.0
1993-08-20,386.0
1993-08-23,388.0
1993-08-24,388.0
1993-08-25,387.0
1993-08-26,384.0
1993-08-27,377.0
1993-08-30,381.0
1993-08-31,384.0
1993-09-01,381.0
1993-09-02,380.0
1993-09-03,371.0
1993-09-06,374.0
1993-09-07,367.0
1993-09-08,357.0
1993-09-09,359.0
1993-09-10,359.0
1993-09-13,353.0
1993-09-14,352.0
1993-09-15,355.0
1993-09-16,362.0
1993-09-17,360.0
1993-09-20,362.0
1993-09-21,360.0
1993-09-22,362.0
1993-09-23,363.0
1993-09-24,363.0
1993-09-27,362.0
1993-09-28,360.0
1993-09-29,360.0
1993-09-30,360.0
1993-10-01,361.0
1993-10-04,356.0
1993-10-05,356.0
1993-10-06,360.0
1993-10-07,363.0
1993-10-08,362.0
1993-10-11,364.0
1993-10-12,363.0
1993-10-13,370.0
1993-10-14,372.0
1993-10-15,367.0
1993-10-18,367.0
1993-10-19,373.0
1993-10-20,376.0
1993-10-21,376.0
1993-10-22,372.0
1993-10-25,376.0
1993-10-26,372.0
1993-10-27,374.0
1993-10-28,374.0
1993-10-29,375.0
1993-11-01,369.0
1993-11-02,367.0
1993-11-03,369.0
1993-11-04,375.0
1993-11-05,381.0
1993-11-08,378.0
1993-11-09,378.0
1993-11-10,376.0
1993-11-11,378.0
1993-11-12,379.0
1993-11-15,375.0
1993-11-16,378.0
1993-11-17,375.0
1993-11-18,379.0
1993-11-19,377.0
1993-11-22,378.0
1993-11-23,376.0
1993-11-24,373.0
1993-11-25,374.0
1993-11-26,375.0
1993-11-29,369.0
1993-11-30,367.0
1993-12-01,367.0
1993-12-02,374.0
1993-12-03,371.0
1993-12-06,374.0
1993-12-07,377.0
1993-12-08,381.0
1993-12-09,381.0
1993-12-10,380.0
1993-12-13,385.0
1993-12-14,388.0
1993-12-15,385.0
1993-12-16,390.0
1993-12-17,387.0
1993-12-20,390.0
1993-12-21,389.0
1993-12-22,385.0
1993-12-23,386.0
1993-12-24,386.0
1993-12-27,386.0
1993-12-28,386.0
1993-12-29,388.0
1993-12-30,394.0
1993-12-31,394.0
1994-01-03,394.0
1994-01-04,398.0
1994-01-05,398.0
1994-01-06,390.0
1994-01-07,390.0
1994-01-10,384.0
1994-01-11,386.0
1994-01-12,387.0
1994-01-13,386.0
1994-01-14,390.0
1994-01-17,394.0
1994-01-18,394.0
1994-01-19,394.0
1994-01-20,392.0
1994-01-21,383.0
1994-01-24,380.0
1994-01-25,382.0
1994-01-26,380.0
1994-01-27,387.0
1994-01-28,382.0
1994-01-31,386.0
1994-02-01,388.0
1994-02-02,393.0
1994-02-03,393.0
1994-02-04,398.0
1994-02-07,392.0
1994-02-08,390.0
1994-02-09,390.0
1994-02-10,392.0
1994-02-11,391.0
1994-02-14,395.0
1994-02-15,403.0
1994-02-16,402.0
1994-02-17,406.0
1994-02-18,399.0
1994-02-21,399.0
1994-02-22,397.0
1994-02-23,394.0
1994-02-24,390.0
1994-02-25,393.0
1994-02-28,395.0
1994-03-01,393.0
1994-03-02,387.0
1994-03-03,393.0
1994-03-04,392.0
1994-03-07,393.0
1994-03-08,392.0
1994-03-09,393.0
1994-03-10,397.0
1994-03-11,405.0
1994-03-14,404.0
1994-03-15,404.0
1994-03-16,402.0
1994-03-17,399.0
1994-03-18,401.0
1994-03-21,400.0
1994-03-22,403.0
1994-03-23,402.0
1994-03-24,405.0
1994-03-25,410.0
1994-03-28,413.0
1994-03-29,408.0
1994-03-30,413.0
1994-03-31,418.0
1994-04-04,419.0
1994-04-05,409.0
1994-04-06,405.0
1994-04-07,407.0
1994-04-08,405.0
1994-04-11,405.0
1994-04-12,396.0
1994-04-13,399.0
1994-04-14,401.0
1994-04-15,396.0
1994-04-18,396.0
1994-04-19,387.0
1994-04-20,386.0
1994-04-21,390.0
1994-04-22,390.0
1994-04-25,390.0
1994-04-26,396.0
1994-04-27,394.0
1994-04-28,390.0
1994-04-29,395.0
1994-05-02,403.0
1994-05-03,401.0
1994-05-04,396.0
1994-05-05,391.0
1994-05-06,390.0
1994-05-09,398.0
1994-05-10,396.0
1994-05-11,394.0
1994-05-12,398.0
1994-05-13,399.0
1994-05-16,399.0
1994-05-17,402.0
1994-05-18,396.0
1994-05-19,400.0
1994-05-20,400.0
1994-05-23,406.0
1994-05-24,409.0
1994-05-25,406.0
1994-05-26,401.0
1994-05-27,398.0
1994-05-30,
1994-05-31,400.0
1994-06-01,402.0
1994-06-02,397.0
1994-06-03,399.0
1994-06-06,396.0
1994-06-07,397.0
1994-06-08,399.0
1994-06-09,399.0
1994-06-10,399.0
1994-06-13,399.0
1994-06-14,402.0
1994-06-15,402.0
1994-06-16,405.0
1994-06-17,406.0
1994-06-20,409.0
1994-06-21,407.0
1994-06-22,409.0
1994-06-23,406.0
1994-06-24,405.0
1994-06-27,401.0
1994-06-28,398.0
1994-06-29,400.0
1994-06-30,401.0
1994-07-01,408.0
1994-07-04,410.0
1994-07-05,413.0
1994-07-06,408.0
1994-07-07,403.0
1994-07-08,402.0
1994-07-11,403.0
1994-07-12,404.0
1994-07-13,408.0
1994-07-14,409.0
1994-07-15,411.0
1994-07-18,418.0
1994-07-19,415.0
1994-07-20,417.0
1994-07-21,413.0
1994-07-22,412.0
1994-07-25,418.0
1994-07-26,423.0
1994-07-27,428.0
1994-07-28,423.0
1994-07-29,419.0
1994-08-01,425.0
1994-08-02,421.0
1994-08-03,416.0
1994-08-04,405.0
1994-08-05,411.0
1994-08-08,408.0
1994-08-09,408.0
1994-08-10,412.0
1994-08-11,411.0
1994-08-12,413.0
1994-08-15,411.0
1994-08-16,411.0
1994-08-17,412.0
1994-08-18,412.0
1994-08-19,413.0
1994-08-22,415.0
1994-08-23,411.0
1994-08-24,412.0
1994-08-25,412.0
1994-08-26,414.0
1994-08-29,408.0
1994-08-30,412.0
1994-08-31,
1994-09-01,413.0
1994-09-02,416.0
1994-09-05,418.0
1994-09-06,420.0
1994-09-07,422.0
1994-09-08,420.0
1994-09-09,418.0
1994-09-12,420.0
1994-09-13,415.0
1994-09-14,418.0
1994-09-15,410.0
1994-09-16,410.0
1994-09-19,413.0
1994-09-20,418.0
1994-09-21,420.0
1994-09-22,419.0
1994-09-23,421.0
1994-09-26,420.0
1994-09-27,419.0
1994-09-28,420.0
1994-09-29,418.0
1994-09-30,419.0
1994-10-03,416.0
1994-10-04,418.0
1994-10-05,421.0
1994-10-06,422.0
1994-10-07,420.0
1994-10-10,417.0
1994-10-11,415.0
1994-10-12,417.0
1994-10-13,416.0
1994-10-14,414.0
1994-10-17,417.0
1994-10-18,419.0
1994-10-19,419.0
1994-10-20,425.0
1994-10-21,426.0
1994-10-24,421.0
1994-10-25,423.0
1994-10-26,422.0
1994-10-27,425.0
1994-10-28,424.0
1994-10-31,421.0
1994-11-01,415.0
1994-11-02,418.0
1994-11-03,419.0
1994-11-04,416.0
1994-11-07,413.0
1994-11-08,411.0
1994-11-09,409.0
1994-11-10,409.0
1994-11-11,413.0
1994-11-14,413.0
1994-11-15,418.0
1994-11-16,415.0
1994-11-17,416.0
1994-11-18,415.0
1994-11-21,410.0
1994-11-22,411.0
1994-11-23,413.0
1994-11-24,411.0
1994-11-25,412.0
1994-11-28,410.0
1994-11-29,411.0
1994-11-30,410.0
1994-12-01,403.0
1994-12-02,406.0
1994-12-05,401.0
1994-12-06,402.0
1994-12-07,404.0
1994-12-08,404.0
1994-12-09,404.0
1994-12-12,409.0
1994-12-13,412.0
1994-12-14,410.0
1994-12-15,410.0
1994-12-16,414.0
1994-12-19,414.0
1994-12-20,418.0
1994-12-21,418.0
1994-12-22,417.0
1994-12-23,415.0
1994-12-27,416.0
1994-12-28,418.0
1994-12-29,419.0
1994-12-30,416.0
1995-01-03,417.0
1995-01-04,405.0
1995-01-05,404.0
1995-01-06,410.0
1995-01-09,405.0
1995-01-10,409.0
1995-01-11,412.0
1995-01-12,417.0
1995-01-13,416.0
1995-01-16,413.0
1995-01-17,415.0
1995-01-18,422.0
1995-01-19,418.0
1995-01-20,419.0
1995-01-23,421.0
1995-01-24,416.0
1995-01-25,419.0
1995-01-26,420.0
1995-01-27,418.0
1995-01-30,414.0
1995-01-31,417.0
1995-02-01,419.0
1995-02-02,415.0
1995-02-03,415.0
1995-02-06,414.0
1995-02-07,411.0
1995-02-08,410.0
1995-02-09,415.0
1995-02-10,415.0
1995-02-13,414.0
1995-02-14,414.0
1995-02-15,415.0
1995-02-16,414.0
1995-02-17,416.0
1995-02-20,418.0
1995-02-21,418.0
1995-02-22,416.0
1995-02-23,418.0
1995-02-24,418.0
1995-02-27,411.0
1995-02-28,411.0
1995-03-01,409.0
1995-03-02,404.0
1995-03-03,406.0
